Observation id,120839 - side,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,,,,,,,
,,,,,,,,
Observation date,2022-06-14 16:13:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
498.067,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Hollowing/Digging,,,START
502.467,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Hollowing/Digging,,,STOP
502.767,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,START
505.033,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,STOP
506.900,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,START
507.733,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,STOP
510.433,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Chewing,,,START
517.400,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Chewing,,,STOP
517.733,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
520.733,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
