From Top,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,
Time,Behavior,Comment,Status
2311.2,Playing w/ Ball,,START
2312.867,Playing w/ Ball,,STOP
2317.267,Playing w/ Box,,START
2317.867,Playing w/ Box,,STOP
2319.133,Playing w/ Ball,,START
2319.933,Playing w/ Ball,,STOP
2321.533,Playing w/ Ball,,START
2328,Playing w/ Ball,,STOP
2329.733,Playing w/ Ball,,START
2345.4,Playing w/ Ball,,STOP
2345.667,Playing w/ Box,,START
2346.067,Playing w/ Box,,STOP
2346.067,Riding the Box,,START
2349.533,Riding the Box,on the box while playing with the ball ,STOP
2349.867,Playing w/ Ball,,START
2354.8,Playing w/ Ball,,STOP
2355.533,Playing w/ Box,,START
2356.067,Playing w/ Box,,STOP
2356.2,Riding the Ball,,START
2370.133,Riding the Ball,,STOP
2378.2,Playing w/ Ball,,START
2378.733,Playing w/ Ball,,STOP
2381.067,Rearing,,START
2382.2,Rearing,,STOP
2382.933,Locomotion,,START
2383.467,Locomotion,,STOP
2384.8,Locomotion,,START
2386.133,Locomotion,,STOP
2402.267,Locomotion,,START
2403.2,Locomotion,,STOP
2404.4,Porthole Interaction,,START
2404.8,Porthole Interaction,,STOP
2409.733,Locomotion,,START
2411.133,Locomotion,,STOP
2411.667,Playing w/ Box,,START
2412,Playing w/ Box,,STOP
2412.867,Rearing,,START
2415.133,Rearing,,STOP
2420.6,Playing w/ Box,,START
2421,Playing w/ Box,,STOP
2421.6,Playing w/ Ball,,START
2421.867,Playing w/ Ball,,STOP
2422.6,Locomotion,,START
2423.6,Locomotion,,STOP
2427.667,Locomotion,,START
2430.333,Locomotion,,STOP
2431.067,Playing w/ Box,,START
2431.6,Playing w/ Box,,STOP
2431.933,Rearing,,START
2432.933,Rearing,,STOP
2448.533,Rearing,,START
2451.933,Rearing,,STOP
2452.4,Playing w/ Box,,START
2453.667,Playing w/ Box,,STOP
2457.6,Drinking,,START
2458.533,Drinking,,STOP
2459.8,Rearing,,START
2462.467,Rearing,,STOP
2466.067,Playing w/ Ball,,START
2466.6,Playing w/ Ball,,STOP
2468,Rearing,,START
2474.533,Rearing,,STOP
2475.4,Playing w/ Box,,START
2475.733,Playing w/ Box,,STOP
2492,Locomotion,,START
2495.733,Locomotion,,STOP
2497.6,Playing w/ Ball,,START
2498.067,Playing w/ Ball,,STOP
2499.867,Playing w/ Ball,,START
2500.333,Playing w/ Ball,,STOP
2501.2,Rearing,,START
2503.067,Rearing,,STOP
2503.6,Playing w/ Box,,START
2504.867,Playing w/ Box,,STOP
2509.267,Locomotion,,START
2512.333,Locomotion,,STOP
2542.467,Playing w/ Ball,,START
2543,Playing w/ Ball,,STOP
2548.667,Playing w/ Ball,,START
2549.067,Playing w/ Ball,,STOP
2550.533,Rearing,,START
2570,Rearing,,STOP
2571.6,Porthole Interaction,,START
2572.467,Porthole Interaction,,STOP
2579.8,Locomotion,,START
2582.533,Locomotion,,STOP
2612.133,Rearing,,START
2612.867,Rearing,,STOP
2620.133,Playing w/ Box,,START
2620.467,Playing w/ Box,,STOP
2620.467,Riding the Box,,START
2622.333,Rearing,,START
2623,Rearing,,STOP
2624.533,Drinking,,START
2625.2,Drinking,,STOP
2625.2,Rearing,,START
2625.867,Rearing,,STOP
2626,Riding the Box,,STOP
2626.067,Playing w/ Box,,START
2626.4,Playing w/ Box,,STOP
2626.933,Riding the Ball,,START
2628.867,Riding the Ball,,STOP
2628.933,Playing w/ Ball,,START
2629.267,Playing w/ Ball,,STOP
2629.6,Locomotion,,START
2630.867,Locomotion,,STOP
2633.267,Locomotion,,START
2634.2,Locomotion,,STOP
2635,Locomotion,,START
2638.067,Locomotion,,STOP
2883.546,SS/NREM,,START
2883.546,SS/Wake,,STOP
3084.613,SS/NREM,,STOP
3084.613,SS/Wake,,START
3165.867,Grooming,,START
3168.667,Grooming,,STOP
3175.867,Playing w/ Box,,START
3176.267,Playing w/ Box,,STOP
3176.867,Riding the Box,,START
3177.733,Rearing,,START
3178.6,Rearing,,STOP
3181.133,Riding the Box,,STOP
3182,Playing w/ Box,,START
3182.4,Playing w/ Box,,STOP
3194.133,Locomotion,,START
3195.933,Locomotion,,STOP
3195.933,Porthole Interaction,,START
3198.533,Porthole Interaction,,STOP
3208.133,Rearing,,START
3211,Rearing,,STOP
3224.933,Porthole Interaction,,START
3225.333,Porthole Interaction,,STOP
3234.533,Locomotion,,START
3235.733,Locomotion,,STOP
3296.333,Locomotion,,START
3297.533,Locomotion,,STOP
3299.6,Locomotion,,START
3312.267,Locomotion,,STOP
3312.533,Locomotion,,START
3313.733,Locomotion,,STOP
3316.333,Rearing,,START
3317.133,Rearing,,STOP
3323.6,Locomotion,,START
3324.867,Locomotion,,STOP
3326.8,Playing w/ Ball,,START
3328.8,Playing w/ Ball,,STOP
3329.133,Playing w/ Ball,,START
3329.6,Playing w/ Ball,,STOP
3330.267,Riding the Ball,,START
3330.6,Riding the Ball,,STOP
3330.933,Playing w/ Ball,,START
3331.4,Playing w/ Ball,,STOP
3331.867,Playing w/ Box,,START
3332.267,Playing w/ Box,,STOP
3334.2,Rearing,,START
3335.333,Rearing,,STOP
3347.4,Playing w/ Box,,START
3347.867,Playing w/ Box,,STOP
3348,Riding the Box,,START
3350,Riding the Box,,STOP
3351.8,Playing w/ Box,,START
3352.067,Playing w/ Box,,STOP
3352.6,Riding the Ball,,START
3353.267,Riding the Ball,,STOP
3353.867,Playing w/ Ball,,START
3354.2,Playing w/ Ball,,STOP
3355.533,Rearing,,START
3361,Rearing,,STOP
3362.533,Rearing,,START
3370.6,Rearing,,STOP
3376.6,Drinking,,START
3388.267,Drinking,,STOP
3391.8,Playing w/ Ball,,START
3392.267,Playing w/ Ball,,STOP
3396.667,Locomotion,,START
3397.867,Locomotion,,STOP
3398,Locomotion,,START
3399.533,Locomotion,,STOP
3402,Playing w/ Box,,START
3402.467,Playing w/ Box,,STOP
3402.533,Playing w/ Box,,START
3404,Playing w/ Box,,STOP
3404.133,Riding the Ball,,START
